"DEMA30","DEMA9","DEMA5","EMA8","EMA3"
"2004.19","1984.69","1964.95","1972.37","1966.87"
"2002.10","1992.27","1970.49","1975.13","1971.04"
"1999.27","2001.30","1979.11","1978.14","1977.49"
