Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,121.500000,123.900002,120.000000,121.750000,121.750000,107863
2023-06-06,123.000000,123.000000,120.650002,121.949997,121.949997,45287
2023-06-07,121.949997,124.300003,121.050003,121.849998,121.849998,59533
2023-06-08,122.000000,126.949997,121.699997,123.099998,123.099998,168809
2023-06-09,123.099998,125.000000,121.300003,121.550003,121.550003,50994
2023-06-12,123.349998,126.300003,120.849998,124.449997,124.449997,161157
2023-06-13,125.650002,125.650002,123.000000,124.199997,124.199997,57566
2023-06-14,125.500000,125.500000,123.150002,124.250000,124.250000,37441
2023-06-15,124.250000,127.449997,123.750000,125.349998,125.349998,100711
2023-06-16,124.949997,125.949997,122.099998,123.000000,123.000000,58788
2023-06-19,123.750000,124.900002,121.199997,123.000000,123.000000,58295
2023-06-20,123.000000,124.900002,121.400002,124.400002,124.400002,49358
2023-06-21,124.900002,126.000000,123.550003,123.800003,123.800003,51829
2023-06-22,124.599998,125.500000,122.250000,122.449997,122.449997,31401
2023-06-23,122.900002,123.300003,120.750000,121.300003,121.300003,37653
2023-06-26,121.300003,124.000000,120.800003,121.500000,121.500000,18162
2023-06-27,123.800003,123.800003,121.550003,122.099998,122.099998,27265
2023-06-28,122.099998,122.099998,122.099998,122.099998,122.099998,0
2023-06-30,123.949997,124.949997,122.250000,123.550003,123.550003,36933
2023-07-03,124.449997,125.000000,122.400002,122.650002,122.650002,44406
2023-07-04,123.000000,123.500000,121.500000,121.750000,121.750000,31935
2023-07-05,121.750000,127.000000,121.550003,124.449997,124.449997,136709
2023-07-06,125.449997,125.900002,123.250000,123.750000,123.750000,47504
